Tip document,Nr. factura,Data factura,Furnizor,Suma factura (lei),Baza TVA (lei),Baza TVA 0 (lei),Valoare TVA (lei)
Factura        ,1000336053,02.11.2016 00:00:00,ANTALIS SA,836.49,697,0,139.49
Factura        ,1140129,02.11.2016 00:00:00,LIFE - IND S.R.L.,168.86,154.92,0,13.94
Factura        ,71619810,07.11.2016 00:00:00,EUROPAPIER ROMANIA SRL,407.98,340,0,67.98
Factura        ,1140473CO,08.11.2016 00:00:00,LIFE - IND S.R.L.,184.62,169.38,0,15.24
Factura        ,1000336809,09.11.2016 00:00:00,ANTALIS SA,1260.08,1050,0,210.08
Factura        ,71620111,11.11.2016 00:00:00,EUROPAPIER ROMANIA SRL,4128,3440,0,688
Factura        ,1140906,15.11.2016 00:00:00,LIFE - IND S.R.L.,418.64,384.07,0,34.57
Factura        ,7059751,15.11.2016 00:00:00,LECOM BIROTICA ARDEAL SRL,2608.32,2173.6,0,434.72
Factura        ,71620320,15.11.2016 00:00:00,EUROPAPIER ROMANIA SRL,3216.53,2680.19,0,536.34
Factura        ,1000338122,22.11.2016 00:00:00,ANTALIS SA,490.85,409,0,81.85
Factura        ,1141364,22.11.2016 00:00:00,LIFE - IND S.R.L.,255.13,234.66,0,20.47
Factura        ,7059911,22.11.2016 00:00:00,LECOM BIROTICA ARDEAL SRL,153,127.5,0,25.5
Factura        ,71620907,22.11.2016 00:00:00,EUROPAPIER ROMANIA SRL,5812.85,4842.03,0,970.82
Factura        ,1000339083,29.11.2016 00:00:00,ANTALIS SA,1260.08,1050,0,210.08
Factura        ,1141666,29.11.2016 00:00:00,LIFE - IND S.R.L.,278.15,255.18,0,22.97
Factura        ,71621671,29.11.2016 00:00:00,EUROPAPIER ROMANIA SRL,4128,3440,0,688
Factura        ,1000339720,07.12.2016 00:00:00,ANTALIS SA,499.18,415.98,0,83.2
Factura        ,3558561,13.12.2016 00:00:00,AGRESSIONE GROUP SA,1705.44,1421.2,0,284.24
Factura        ,71622450,13.12.2016 00:00:00,EUROPAPIER ROMANIA SRL,7216.58,6011.83,0,1204.75
Factura        ,1142997,20.12.2016 00:00:00,LIFE - IND S.R.L.,124.74,114.44,0,10.3
Factura        ,7060468,20.12.2016 00:00:00,LECOM BIROTICA ARDEAL SRL,3413.26,2844.38,0,568.88
Factura        ,71622980,20.12.2016 00:00:00,EUROPAPIER ROMANIA SRL,4176.74,3480.36,0,696.38
Factura        ,3571,06.01.2017 00:00:00,PHONUS SRL,1874.85,1575.5,0,299.35
Factura        ,1000342093,10.01.2017 00:00:00,ANTALIS SA,741.13,622.8,0,118.33
Factura        ,71700764,18.01.2017 00:00:00,EUROPAPIER ROMANIA SRL,3474.82,2920,0,554.82
Factura        ,7000257,19.01.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,241.02,202.5,0,38.52
Factura        ,71701044,23.01.2017 00:00:00,EUROPAPIER ROMANIA SRL,930.14,781.55,0,148.59
Factura        ,1144645,24.01.2017 00:00:00,LIFE - IND S.R.L.,153.96,141.78,0,12.18
Factura        ,7000352,25.01.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,5221.17,4387.35,0,833.82
Factura        ,9949,30.01.2017 00:00:00,INTERNATIONAL PRINT SUPPLIES,345.1,290,0,55.1
Factura        ,7000492,31.01.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,3429.25,2881.5,0,547.75
Factura        ,71701473,31.01.2017 00:00:00,EUROPAPIER ROMANIA SRL,931.55,782.78,0,148.77
Factura        ,1145197,01.02.2017 00:00:00,LIFE - IND S.R.L.,399.64,366.64,0,33
Factura        ,7000581,02.02.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,901.77,757.79,0,143.98
Factura        ,71701752,02.02.2017 00:00:00,EUROPAPIER ROMANIA SRL,1308.67,1099.5,0,209.17
Factura        ,71701784,03.02.2017 00:00:00,EUROPAPIER ROMANIA SRL,407.34,341.93,0,65.41
Factura        ,71701966,07.02.2017 00:00:00,EUROPAPIER ROMANIA SRL,3379.31,2839.08,0,540.23
Factura        ,253,08.02.2017 00:00:00,PENIŢA VESELĂ S.R.L.,2838.84,2385.6,0,453.24
Factura        ,315475,15.02.2017 00:00:00,LIFE - IND S.R.L.,63.65,58.39,0,5.26
Factura        ,7000780,15.02.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,3188.25,2679.2,0,509.05
Factura        ,7000781,15.02.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,169.98,142.8,0,27.18
Factura        ,71702507,15.02.2017 00:00:00,EUROPAPIER ROMANIA SRL,2801.85,2354.43,0,447.42
Factura        ,1146399,21.02.2017 00:00:00,LIFE - IND S.R.L.,135.29,124.12,0,11.17
Factura        ,71702945,22.02.2017 00:00:00,EUROPAPIER ROMANIA SRL,5339.46,4483.45,0,856.01
Factura        ,1000348361,28.02.2017 00:00:00,ANTALIS SA,1615.83,1357.8,0,258.03
Factura        ,1146836,28.02.2017 00:00:00,LIFE - IND S.R.L.,231.45,212.34,0,19.11
Factura        ,1000346931,07.03.2017 00:00:00,ANTALIS SA,624.79,525,0,99.79
Factura        ,71704230,14.03.2017 00:00:00,EUROPAPIER ROMANIA SRL,5070.38,4260.5,0,809.88
Factura        ,1000348313,21.03.2017 00:00:00,ANTALIS SA,1624.46,1365,0,259.46
Factura        ,1148493,25.03.2017 00:00:00,LIFE - IND S.R.L.,608.36,558.13,0,50.23
Factura        ,71705179,28.03.2017 00:00:00,EUROPAPIER ROMANIA SRL,5773.31,4852,0,921.31
Factura        ,1000349534,31.03.2017 00:00:00,ANTALIS SA,1375.01,1155,0,220.01
Factura        ,1148984,04.04.2017 00:00:00,LIFE - IND S.R.L.,91.18,84.42,0,6.76
Factura        ,71705650,04.04.2017 00:00:00,EUROPAPIER ROMANIA SRL,4907.11,4123.6,0,783.51
Factura        ,71706271,12.04.2017 00:00:00,EUROPAPIER ROMANIA SRL,5063.9,4254.5,0,809.4
Factura        ,7001906,25.04.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,3885.97,3265.52,0,620.45
Factura        ,71706890,25.04.2017 00:00:00,EUROPAPIER ROMANIA SRL,1815.9,1525.95,0,289.95
Factura        ,71706900,25.04.2017 00:00:00,EUROPAPIER ROMANIA SRL,357,300,0,57
Factura        ,1150424,26.04.2017 00:00:00,LIFE - IND S.R.L.,202.25,185.55,0,16.7
Factura        ,71707922,09.05.2017 00:00:00,EUROPAPIER ROMANIA SRL,9872.24,8296.32,0,1575.92
Factura        ,1151940,16.05.2017 00:00:00,LIFE - IND S.R.L.,258.64,237.28,0,21.36
Factura        ,4324,16.05.2017 00:00:00,PHONUS SRL,3855.6,3240,0,615.6
Factura        ,71708360,16.05.2017 00:00:00,EUROPAPIER ROMANIA SRL,5547.1,4661.4,0,885.7
Factura        ,1500000175,18.05.2017 00:00:00,ROMANIAN PAPER DISTRIBUTION SRL,940.97,790,0,150.97
Factura        ,71708662,19.05.2017 00:00:00,EUROPAPIER ROMANIA SRL,535.5,450,0,85.5
Factura        ,7002447,24.05.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,1453.99,1221.84,0,232.15
Factura        ,71709004,24.05.2017 00:00:00,EUROPAPIER ROMANIA SRL,4731.43,3975.12,0,756.31
Factura        ,4398,25.05.2017 00:00:00,PHONUS SRL,799.68,672,0,127.68
Factura        ,1152990,26.05.2017 00:00:00,LIFE - IND S.R.L.,436.85,400.78,0,36.07
Factura        ,1152991,26.05.2017 00:00:00,LIFE - IND S.R.L.,166.92,153.14,0,13.78
Factura        ,1500000287,30.05.2017 00:00:00,ROMANIAN PAPER DISTRIBUTION SRL,278.46,234,0,44.46
Factura        ,71709394,30.05.2017 00:00:00,EUROPAPIER ROMANIA SRL,3586.85,3013.26,0,573.59
Factura        ,4462,06.06.2017 00:00:00,PHONUS SRL,1117.41,939,0,178.41
Factura        ,71709784,06.06.2017 00:00:00,EUROPAPIER ROMANIA SRL,4408.95,3705,0,703.95
Factura        ,7078787,07.06.2017 00:00:00,DACORA PRINT SRL,1104.88,928.44,0,176.44
Factura        ,4480,08.06.2017 00:00:00,PHONUS SRL,1907.57,1603,0,304.57
Factura        ,1154045,08.06.2017 00:00:00,LIFE - IND S.R.L.,351.79,322.74,0,29.05
Factura        ,4478,08.06.2017 00:00:00,PHONUS SRL,1742.16,1464,0,278.16
Factura        ,1000355844,13.06.2017 00:00:00,ANTALIS SA,2991.43,2513.6,0,477.83
Factura        ,1154395,13.06.2017 00:00:00,LIFE - IND S.R.L.,145.35,133.35,0,12
Factura        ,71710292,13.06.2017 00:00:00,EUROPAPIER ROMANIA SRL,6401.5,5379.4,0,1022.1
Factura        ,1291,14.06.2017 00:00:00,PENIŢA VESELĂ S.R.L.,787.76,661.95,0,125.81
Factura        ,1000356004,14.06.2017 00:00:00,ANTALIS SA,1353.54,1137.38,0,216.16
Factura        ,1294,15.06.2017 00:00:00,PENIŢA VESELĂ S.R.L.,1946.33,1635.55,0,310.78
Factura        ,4529,15.06.2017 00:00:00,PHONUS SRL,1713.6,1440,0,273.6
Factura        ,4552,16.06.2017 00:00:00,PHONUS SRL,424.83,357,0,67.83
Factura        ,7079101,16.06.2017 00:00:00,DACORA PRINT SRL,1878.48,1578,0,300.48
Factura        ,71710842,20.06.2017 00:00:00,EUROPAPIER ROMANIA SRL,6490.63,5453.5,0,1037.13
Factura        ,1155125,21.06.2017 00:00:00,LIFE - IND S.R.L.,499.9,458.62,0,41.28
Factura        ,1146,23.06.2017 00:00:00,KOLOS GROUP SRL,3969.91,3336.06,0,633.85
Factura        ,71711369,27.06.2017 00:00:00,EUROPAPIER ROMANIA SRL,1388.88,1167.13,0,221.75
Factura        ,1156230,03.07.2017 00:00:00,LIFE - IND S.R.L.,418.45,383.9,0,34.55
Factura        ,71711765,03.07.2017 00:00:00,EUROPAPIER ROMANIA SRL,8775.06,7373.36,0,1401.7
Factura        ,1000357864,04.07.2017 00:00:00,ANTALIS SA,131.32,110.34,0,20.98
Factura        ,4632,04.07.2017 00:00:00,PHONUS SRL,3643.78,3062,0,581.78
Factura        ,71711849,04.07.2017 00:00:00,EUROPAPIER ROMANIA SRL,2941.3,2471.2,0,470.1
Factura        ,7079694,05.07.2017 00:00:00,DACORA PRINT SRL,384.39,323,0,61.39
Factura        ,4667,07.07.2017 00:00:00,PHONUS SRL,303.45,255,0,48.45
Factura        ,1500000630,07.07.2017 00:00:00,ROMANIAN PAPER DISTRIBUTION SRL,1870.68,1572,0,298.68
Factura        ,1157082,11.07.2017 00:00:00,LIFE - IND S.R.L.,583.2,535.05,0,48.15
Factura        ,71712399,11.07.2017 00:00:00,EUROPAPIER ROMANIA SRL,3328.87,2797.37,0,531.5
Factura        ,1500000698,13.07.2017 00:00:00,ROMANIAN PAPER DISTRIBUTION SRL,928.19,779.99,0,148.2
Factura        ,71712749,18.07.2017 00:00:00,EUROPAPIER ROMANIA SRL,8026.67,6745.07,0,1281.6
Factura        ,7080071,20.07.2017 00:00:00,DACORA PRINT SRL,524.12,440.43,0,83.69
Factura        ,1000359309,21.07.2017 00:00:00,ANTALIS SA,507.81,426.73,0,81.08
Factura        ,1000359461,25.07.2017 00:00:00,ANTALIS SA,1015.62,853.46,0,162.16
Factura        ,1158848,25.07.2017 00:00:00,LIFE - IND S.R.L.,394.43,361.86,0,32.57
Factura        ,71713141,25.07.2017 00:00:00,EUROPAPIER ROMANIA SRL,3548.35,2981.8,0,566.55
Factura        ,71713402,28.07.2017 00:00:00,EUROPAPIER ROMANIA SRL,2024.39,1701,0,323.39
Factura        ,7003555,01.08.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,559.86,470.47,0,89.39
Factura        ,71713636,01.08.2017 00:00:00,EUROPAPIER ROMANIA SRL,782.44,657.5,0,124.94
Factura        ,1159829,02.08.2017 00:00:00,LIFE - IND S.R.L.,201.67,185.02,0,16.65
Factura        ,1160500CO,08.08.2017 00:00:00,LIFE - IND S.R.L.,299.35,274.63,0,24.72
Factura        ,1500000894,08.08.2017 00:00:00,ROMANIAN PAPER DISTRIBUTION SRL,3141.6,2640,0,501.6
Factura        ,7003677,08.08.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,548.73,461.12,0,87.61
Factura        ,71714043,08.08.2017 00:00:00,EUROPAPIER ROMANIA SRL,1616.89,1358.62,0,258.27
Factura        ,7080542,09.08.2017 00:00:00,DACORA PRINT SRL,747.46,628.12,0,119.34
Factura        ,1293,10.08.2017 00:00:00,KOLOS GROUP SRL,397.66,334.16,0,63.5
Factura        ,1000361023,17.08.2017 00:00:00,ANTALIS SA,1838.42,1544.73,0,293.69
Factura        ,4909,21.08.2017 00:00:00,PHONUS SRL,871.08,732,0,139.08
Factura        ,4911,21.08.2017 00:00:00,PHONUS SRL,785.4,660,0,125.4
Factura        ,1161971CO,23.08.2017 00:00:00,LIFE - IND S.R.L.,418.92,384.12,0,34.8
Factura        ,1336,28.08.2017 00:00:00,KOLOS GROUP SRL,795.32,668.32,0,127
Factura        ,71715255,29.08.2017 00:00:00,EUROPAPIER ROMANIA SRL,3050.67,2563.43,0,487.24
Factura        ,71715695,01.09.2017 00:00:00,EUROPAPIER ROMANIA SRL,3244.69,2726.2,0,518.49
Factura        ,71715803,04.09.2017 00:00:00,EUROPAPIER ROMANIA SRL,619.16,520.29,0,98.87
Factura        ,1163136,06.09.2017 00:00:00,LIFE - IND S.R.L.,114.36,104.92,0,9.44
Factura        ,1500001142,06.09.2017 00:00:00,ROMANIAN PAPER DISTRIBUTION SRL,2094.4,1760,0,334.4
Factura        ,1500001144,06.09.2017 00:00:00,ROMANIAN PAPER DISTRIBUTION SRL,423.68,356.01,0,67.67
Factura        ,7004270,07.09.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,789.47,663.42,0,126.05
Factura        ,7081302,07.09.2017 00:00:00,DACORA PRINT SRL,2802.82,2355.31,0,447.51
Factura        ,71716076,07.09.2017 00:00:00,EUROPAPIER ROMANIA SRL,413.15,347.18,0,65.97
Factura        ,1500001180,08.09.2017 00:00:00,ROMANIAN PAPER DISTRIBUTION SRL,3141.6,2640,0,501.6
Factura        ,7081351,08.09.2017 00:00:00,DACORA PRINT SRL,648.5,544.96,0,103.54
Factura        ,1500001201,12.09.2017 00:00:00,ROMANIAN PAPER DISTRIBUTION SRL,3424.81,2877.99,0,546.82
Factura        ,71716353,12.09.2017 00:00:00,EUROPAPIER ROMANIA SRL,6869.54,5772.29,0,1097.25
Factura        ,1163571,13.09.2017 00:00:00,LIFE - IND S.R.L.,194.51,178.45,0,16.06
Factura        ,70815119,14.09.2017 00:00:00,DACORA PRINT SRL,386.13,324.48,0,61.65
Factura        ,7004588,19.09.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,775.79,651.92,0,123.87
Factura        ,71716916,19.09.2017 00:00:00,EUROPAPIER ROMANIA SRL,413.15,347.18,0,65.97
Factura        ,5120,20.09.2017 00:00:00,PHONUS SRL,785.4,660,0,125.4
Factura        ,1500001343,26.09.2017 00:00:00,ROMANIAN PAPER DISTRIBUTION SRL,3141.6,2640,0,501.6
Factura        ,2018529,26.09.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,303.45,255,0,48.45
Factura        ,70044760,26.09.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,153.75,129.2,0,24.55
Factura        ,71717447,26.09.2017 00:00:00,EUROPAPIER ROMANIA SRL,862.55,724.83,0,137.72
Factura        ,1164647,27.09.2017 00:00:00,LIFE - IND S.R.L.,512.78,470.44,0,42.34
Factura        ,2018706,27.09.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,155.88,130.99,0,24.89
Factura        ,7004843,28.09.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,173.98,146.2,0,27.78
Factura        ,5179,29.09.2017 00:00:00,PHONUS SRL,728.28,612,0,116.28
Factura        ,7004880,29.09.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,56.45,47.44,0,9.01
Factura        ,1500001415,03.10.2017 00:00:00,ROMANIAN PAPER DISTRIBUTION SRL,6283.2,5280,0,1003.2
Factura        ,71717981,03.10.2017 00:00:00,EUROPAPIER ROMANIA SRL,618.1,519.4,0,98.7
Factura        ,71718057,04.10.2017 00:00:00,EUROPAPIER ROMANIA SRL,1898.08,1594.95,0,303.13
Factura        ,71718141,04.10.2017 00:00:00,EUROPAPIER ROMANIA SRL,90.04,75.66,0,14.38
Factura        ,7005051,09.10.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,526.17,442.16,0,84.01
Factura        ,71718388,09.10.2017 00:00:00,EUROPAPIER ROMANIA SRL,571.91,480.6,0,91.31
Factura        ,1000365887,10.10.2017 00:00:00,ANTALIS SA,1305.44,1096.94,0,208.5
Factura        ,1165336,10.10.2017 00:00:00,LIFE - IND S.R.L.,405.5,372.02,0,33.48
Factura        ,1500001488,10.10.2017 00:00:00,ROMANIAN PAPER DISTRIBUTION SRL,6283.2,5280,0,1003.2
Factura        ,7005080,10.10.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,1010.12,848.84,0,161.28
Factura        ,7082341,10.10.2017 00:00:00,DACORA PRINT SRL,1499.68,1260.23,0,239.45
Factura        ,7082343,10.10.2017 00:00:00,DACORA PRINT SRL,4257.13,3577.29,0,679.84
Factura        ,71718515,10.10.2017 00:00:00,EUROPAPIER ROMANIA SRL,268.04,225.24,0,42.8
Factura        ,1500001497,11.10.2017 00:00:00,ROMANIAN PAPER DISTRIBUTION SRL,135.17,113.59,0,21.58
Factura        ,5260,12.10.2017 00:00:00,PHONUS SRL,2052.75,1725,0,327.75
Factura        ,1500001551,17.10.2017 00:00:00,ROMANIAN PAPER DISTRIBUTION SRL,6283.2,5280,0,1003.2
Factura        ,7005244,17.10.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,500.89,420.92,0,79.97
Factura        ,1165960,18.10.2017 00:00:00,LIFE - IND S.R.L.,188.82,173.23,0,15.59
Factura        ,1533,18.10.2017 00:00:00,KOLOS GROUP SRL,1049.17,881.65,0,167.52
Factura        ,5297,18.10.2017 00:00:00,PHONUS SRL,785.4,660,0,125.4
Factura        ,2463,20.10.2017 00:00:00,PENIŢA VESELĂ S.R.L.,1106.23,929.62,0,176.61
Factura        ,1000367083,20.10.2017 00:00:00,ANTALIS SA,508.38,426.73,0,81.65
Factura        ,1562,20.10.2017 00:00:00,KOLOS GROUP SRL,2403.8,2020,0,383.8
Factura        ,1000367306,24.10.2017 00:00:00,ANTALIS SA,919.2,772.36,0,146.84
Factura        ,1166376,24.10.2017 00:00:00,LIFE - IND S.R.L.,351.25,322.25,0,29
Factura        ,1578,24.10.2017 00:00:00,KOLOS GROUP SRL,797.26,669.96,0,127.3
Factura        ,2020736,24.10.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,222.53,187,0,35.53
Factura        ,7005387,24.10.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,249.84,209.95,0,39.89
Factura        ,71719578,24.10.2017 00:00:00,EUROPAPIER ROMANIA SRL,269.27,226.28,0,42.99
Factura        ,7005547,31.10.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,155.27,130.48,0,24.79
Factura        ,76022,03.11.2017 00:00:00,ROMSTAL IMEX SRL,190,159.66,0,30.34
Factura        ,71720956,08.11.2017 00:00:00,EUROPAPIER ROMANIA SRL,1304.68,1096.25,0,208.43
Factura        ,7083415,10.11.2017 00:00:00,DACORA PRINT SRL,725.91,609.84,0,116.07
Factura        ,71721257,13.11.2017 00:00:00,EUROPAPIER ROMANIA SRL,832.94,699.94,0,133
Factura        ,1167559,14.11.2017 00:00:00,LIFE - IND S.R.L.,358.75,329.13,0,29.62
Factura        ,1500001804,14.11.2017 00:00:00,ROMANIAN PAPER DISTRIBUTION SRL,3170.68,2663,0,507.68
Factura        ,8239,14.11.2017 00:00:00,PAPER ROLPROD SRL,476,400,0,76
Factura        ,7083602,15.11.2017 00:00:00,DACORA PRINT SRL,2141.52,1799.6,0,341.92
Factura        ,2640,16.11.2017 00:00:00,PENIŢA VESELĂ S.R.L.,778.36,654.08,0,124.28
Factura        ,2641,16.11.2017 00:00:00,PENIŢA VESELĂ S.R.L.,2009.53,1688.68,0,320.85
Factura        ,1000370334,21.11.2017 00:00:00,ANTALIS SA,531.06,446.25,0,84.81
Factura        ,1167900,21.11.2017 00:00:00,LIFE - IND S.R.L.,287.02,263.32,0,23.7
Factura        ,1500001873,21.11.2017 00:00:00,ROMANIAN PAPER DISTRIBUTION SRL,3170.68,2663,0,507.68
Factura        ,1713,21.11.2017 00:00:00,KOLOS GROUP SRL,323.65,271.97,0,51.68
Factura        ,531011,21.11.2017 00:00:00,CONCRET CONSULT SRL,932.72,783.8,0,148.92
Factura        ,531012,21.11.2017 00:00:00,CONCRET CONSULT SRL,237.15,199.28,0,37.87
Factura        ,71722022,21.11.2017 00:00:00,EUROPAPIER ROMANIA SRL,4009.55,3369.34,0,640.21
Factura        ,1168341,28.11.2017 00:00:00,LIFE - IND S.R.L.,164.56,150.97,0,13.59
Factura        ,1500001942,28.11.2017 00:00:00,ROMANIAN PAPER DISTRIBUTION SRL,3170.8,2663.1,0,507.7
Factura        ,7006127,28.11.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,266.23,223.72,0,42.51
Factura        ,1748,29.11.2017 00:00:00,KOLOS GROUP SRL,1211.56,1018.12,0,193.44
Factura        ,5609,04.12.2017 00:00:00,PHONUS SRL,961.52,808,0,153.52
Factura        ,1168615CO,04.12.2017 00:00:00,LIFE - IND S.R.L.,202.63,185.9,0,16.73
Factura        ,7006240,05.12.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,241.24,202.72,0,38.52
Factura        ,71723063,05.12.2017 00:00:00,EUROPAPIER ROMANIA SRL,1728.23,1452.29,0,275.94
Factura        ,7084343,06.12.2017 00:00:00,DACORA PRINT SRL,1632.31,1371.69,0,260.62
Factura        ,1500002024,07.12.2017 00:00:00,ROMANIAN PAPER DISTRIBUTION SRL,3170.56,2660.5,0,510.06
Factura        ,7006348,12.12.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,376.28,316.2,0,60.08
Factura        ,71723670,12.12.2017 00:00:00,EUROPAPIER ROMANIA SRL,2756.98,2316.78,0,440.2
Factura        ,1814,13.12.2017 00:00:00,KOLOS GROUP SRL,350.23,294.31,0,55.92
Factura        ,1169316,18.12.2017 00:00:00,LIFE - IND S.R.L.,262.73,241.04,0,21.69
Factura        ,1834,18.12.2017 00:00:00,KOLOS GROUP SRL,603.33,507,0,96.33
Factura        ,71724131,18.12.2017 00:00:00,EUROPAPIER ROMANIA SRL,374.72,314.89,0,59.83
Factura        ,5658,19.12.2017 00:00:00,PHONUS SRL,2034.9,1710,0,324.9
Factura        ,7006536,19.12.2017 00:00:00,LECOM BIROTICA ARDEAL SRL,1162.44,976.84,0,185.6
Factura        ,7084795,19.12.2017 00:00:00,DACORA PRINT SRL,3018.89,2536.88,0,482.01
Factura        ,71724275,19.12.2017 00:00:00,EUROPAPIER ROMANIA SRL,5496.4,4618.81,0,877.59
Factura        ,71724313,19.12.2017 00:00:00,EUROPAPIER ROMANIA SRL,866.99,728.55,0,138.44
Factura        ,1841,20.12.2017 00:00:00,KOLOS GROUP SRL,1866.04,1567.39,0,298.65
Factura        ,71724431,20.12.2017 00:00:00,EUROPAPIER ROMANIA SRL,1449.76,1218,0,231.76
Factura        ,1000373618,21.12.2017 00:00:00,ANTALIS SA,787.2,661.5,0,125.7
Factura        ,71800106,05.01.2018 00:00:00,EUROPAPIER ROMANIA SRL,1967.96,1653.75,0,314.21
Factura        ,71800125,05.01.2018 00:00:00,EUROPAPIER ROMANIA SRL,1049.58,882,0,167.58
Factura        ,1170032,09.01.2018 00:00:00,LIFE - IND S.R.L.,289.85,265.92,0,23.93
Factura        ,7085046,09.01.2018 00:00:00,DACORA PRINT SRL,590.04,495.83,0,94.21
Factura        ,5767,10.01.2018 00:00:00,PHONUS SRL,153.51,129,0,24.51
Factura        ,7085078,10.01.2018 00:00:00,DACORA PRINT SRL,1069.54,898.77,0,170.77
Factura        ,1000374593,12.01.2018 00:00:00,ANTALIS SA,1522.7,1279.58,0,243.12
Factura        ,1388,14.01.2018 00:00:00,PIM SERVICE SRL,979.91,823.44,0,156.47
Factura        ,1170339,16.01.2018 00:00:00,LIFE - IND S.R.L.,204.16,187.3,0,16.86
Factura        ,7006867,16.01.2018 00:00:00,LECOM BIROTICA ARDEAL SRL,301.05,252.98,0,48.07
Factura        ,71800773,16.01.2018 00:00:00,EUROPAPIER ROMANIA SRL,3572.98,3002.5,0,570.48
Factura        ,71801165,22.01.2018 00:00:00,EUROPAPIER ROMANIA SRL,2308.6,1940,0,368.6
Factura        ,2026730,23.01.2018 00:00:00,LECOM BIROTICA ARDEAL SRL,304.06,255.51,0,48.55
Factura        ,7006977,23.01.2018 00:00:00,LECOM BIROTICA ARDEAL SRL,374.46,314.67,0,59.79
Factura        ,1394,26.01.2018 00:00:00,PIM SERVICE SRL,697.95,586.5,0,111.45
Factura        ,1170974,30.01.2018 00:00:00,LIFE - IND S.R.L.,436.74,400.68,0,36.06
Factura        ,7007097,30.01.2018 00:00:00,LECOM BIROTICA ARDEAL SRL,639.8,537.65,0,102.15
Factura        ,7075591,31.01.2018 00:00:00,DACORA PRINT SRL,1552.2,1304.37,0,247.83
